Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,PHI53.9,PHI36.5,PHI30.1,ATL9.0,STL27.4,ARI5.0,CIN6.7,CIN5.1,SFG5.5,COL6.2,MIL7.8,LAD8.0,ARI5.8,MIL15.0,STL0.2,CIN1.9
2,MIL39.8,FLA17.7,LAD14.0,FLA7.2,CIN26.2,ATL3.4,STL5.6,PHI3.5,CIN3.2,NYM5.4,STL5.0,PHI5.9,HOU4.5,ARI13.3,SDP0.1,STL1.6
3,STL37.0,ATL17.3,FLA10.8,PHI6.3,ARI24.5,CIN2.6,MIL4.2,MIL3.3,NYM2.7,CHC3.3,HOU2.8,PIT5.4,NYM4.2,STL11.8,NYM0.1,SFG1.5
4,LAD34.4,LAD16.1,SFG9.9,COL6.2,MIL23.8,STL2.6,NYM3.6,WSN2.8,CHC2.7,HOU3.2,ARI2.7,ARI4.8,STL4.1,LAD11.2,MIL0.1,SDP1.3
5,ARI34.1,MIL16.0,MIL9.8,WSN6.0,NYM20.1,SDP2.5,LAD2.7,ARI2.7,SDP2.6,PHI2.5,WSN2.3,SDP4.4,FLA4.1,HOU9.4,LAD0.1,MIL1.1
6,ATL31.8,SFG15.0,ATL9.2,SDP5.2,LAD18.3,COL2.5,COL2.5,PIT2.7,ATL2.5,ARI1.9,SFG1.7,MIL4.0,MIL3.2,SDP7.7,HOU0.1,HOU1.0
7,CIN31.6,COL12.4,NYM7.6,MIL5.0,PHI17.4,WSN2.1,FLA2.5,FLA2.1,STL2.3,LAD1.4,PIT1.6,COL2.9,CIN2.3,PIT6.9,FLA0.1,ARI0.8
8,SFG30.8,WSN12.1,STL7.3,PIT4.5,SFG15.8,PHI1.9,CHC2.4,STL2.0,WSN2.0,WSN1.3,CIN1.6,STL2.7,SDP2.2,NYM6.5,ATL0.1,NYM0.8
9,COL28.0,SDP10.9,ARI6.9,SFG4.4,COL15.6,SFG1.8,HOU2.2,ATL1.7,PHI1.8,STL1.3,ATL1.1,CHC2.2,SFG2.2,PHI6.1,CHC0.1,CHC0.7
10,WSN27.4,PIT10.0,COL6.5,CHC4.3,HOU15.5,LAD1.6,ATL1.5,CHC1.6,ARI0.9,ATL1.2,SDP1.1,HOU2.1,LAD2.1,CIN5.8,COL0.1,WSN0.6
11,FLA27.1,STL9.6,WSN6.4,CIN3.0,SDP15.4,PIT1.2,SFG1.3,COL1.0,LAD0.6,CIN0.9,LAD1.1,CIN1.9,PHI1.6,WSN5.6,PHI0.0,LAD0.5
12,NYM26.7,ARI9.6,PIT6.4,STL2.2,WSN15.3,CHC1.1,PHI1.2,NYM0.8,HOU-0.2,FLA0.8,NYM1.0,WSN1.9,ATL1.4,SFG5.5,PIT0.0,PHI0.4
13,SDP26.3,NYM6.6,SDP5.8,LAD1.9,CHC15.2,MIL0.8,WSN1.0,SDP0.8,FLA-0.6,PIT0.7,COL0.9,SFG1.6,WSN1.4,COL4.7,CIN0.0,ATL0.4
14,CHC21.4,CHC6.2,CHC2.7,ARI1.2,ATL14.5,FLA0.7,SDP0.6,LAD0.2,MIL-0.7,SFG0.4,CHC0.3,NYM1.3,COL0.9,FLA3.8,SFG0.0,FLA0.0
15,PIT20.0,CIN5.4,CIN2.4,NYM-0.1,PIT10.0,NYM0.2,PIT0.0,HOU0.2,PIT-1.3,MIL0.0,FLA-0.2,ATL1.2,CHC0.8,ATL3.7,ARI0.0,COL0.0
16,HOU13.4,HOU-2.1,HOU-0.8,HOU-1.5,FLA9.4,HOU-0.4,ARI-0.1,SFG-0.2,COL-1.4,SDP-0.2,PHI-1.4,FLA-0.1,PIT-0.1,CHC3.3,WSN-0.1,PIT-0.2
AVG,30.2,12.5,8.4,4.0,17.8,1.9,2.4,1.9,1.4,1.9,1.8,3.1,2.5,7.5,0.1,0.8